2026-02-19 20:01:25 | User 1 | Table roles | Method GET
2026-02-19 20:01:45 | User 1 | Table users | Method GET
2026-02-19 20:01:46 | User 1 | Table users | Method GET
2026-02-19 20:04:07 | User 1 | Table users | Method GET
2026-02-19 20:04:07 | User 1 | Table users | Method GET
2026-02-19 20:04:53 | User 1 | Table users | Method GET
2026-02-19 20:04:53 | User 1 | Table roles | Method GET
2026-02-19 20:04:53 | User 1 | Table users | Method GET
2026-02-19 20:05:00 | User 1 | Table users | Method GET
2026-02-19 20:05:00 | User 1 | Table roles | Method GET
2026-02-19 20:05:15 | User 1 | Table roles | Method GET
2026-02-19 20:05:15 | User 1 | Table users | Method GET
2026-02-19 20:05:15 | User 1 | Table  | Method PUT
2026-02-19 20:05:15 | User 1 | Table users | Method GET
2026-02-19 20:05:15 | User 1 | Table roles | Method GET
2026-02-19 20:05:15 | User 1 | Table users | Method GET
2026-02-19 20:05:19 | User 1 | Table users | Method GET
2026-02-19 20:05:19 | User 1 | Table roles | Method GET
2026-02-19 20:05:22 | User 1 | Table users | Method GET
2026-02-19 20:05:22 | User 1 | Table roles | Method GET
2026-02-19 20:06:15 | User 1 | Table users | Method GET
2026-02-19 20:06:15 | User 1 | Table roles | Method GET
2026-02-19 20:06:15 | User 1 | Table users | Method GET
2026-02-19 20:10:07 | User 1 | Table users | Method GET
2026-02-19 20:10:07 | User 1 | Table roles | Method GET
2026-02-19 20:10:07 | User 1 | Table users | Method GET
2026-02-19 20:11:19 | User 1 | Table roles | Method GET
2026-02-19 20:11:19 | User 1 | Table users | Method GET
2026-02-19 20:11:19 | User 1 | Table roles | Method GET
2026-02-19 20:11:19 | User 1 | Table users | Method GET
2026-02-19 20:11:32 | User 1 | Table users | Method GET
2026-02-19 20:11:32 | User 1 | Table roles | Method GET
2026-02-19 20:12:06 | User 1 | Table roles | Method GET
2026-02-19 20:12:06 | User 1 | Table roles | Method GET
2026-02-19 20:12:06 | User 1 | Table users | Method GET
